area_code,gp_access_score,gp_access_quintile,gp_access_decile
E01000388,0.2927205032738477,5,9
E01000389,0.315188085761972,4,8
E01000390,0.693927333418924,2,4
E01000391,0.24842726922583128,5,9
E01000392,0.483373988958788,3,6
E01000393,0.5405058415714469,3,6
E01000394,0.2760302991398126,5,9
E01000395,0.40184876107330847,4,7
E01000396,0.40826807035562973,4,7
E01000398,0.3524200795994351,4,8
E01000399,0.24457568365643856,5,9
E01000400,0.11169598151238924,5,10
E01000401,0.23109513416356395,5,9
E01000402,0.5822313519065347,3,5
E01000403,0.3132622929772756,4,8
E01000404,0.7208884324046733,2,4
E01000405,0.4801643343176274,3,6
E01000406,0.4583386827577352,3,6
E01000407,0.2612658877904737,5,9
E01000408,0.1713955578379766,5,10
E01000409,0.23045320323533186,5,9
E01000410,0.4891513673128771,3,6
E01000411,0.28501733213506225,5,9
E01000412,0.794068558223135,2,4
E01000413,0.2163307228142252,5,10
E01000414,0.17524714340736938,5,10
E01000415,0.2105533444601361,5,10
E01000416,0.49942226216459107,3,6
E01000417,0.6971369880600846,2,4
E01000418,0.8081910386442418,2,3
E01000419,0.40056489921684424,4,7
E01000420,0.45320323533187823,4,7
